"download.gebruikhet.net","IPv4-IPv6","TLSv1.2","200 Welcome to Bullcat","OK","OK","OK","-","-"
"eu.bintube.com","IPv4-only","TLSv1.2","200 news.bintube.com NNRP Service Ready (posting ok) (yEnc enabled). (fx17.fr7)","OK","OK","OK","-","-"
"eu.newsdemon.com","IPv4-IPv6","TLSv1.2","200 Welcome (fx17.fr7)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.newsdemon.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.newsfusion.net","IPv4-only","TLSv1.2","200 Welcome to Usenet (fx28.am4)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.newsfusion.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.newsleecher.com","IPv4-IPv6","TLSv1.2","200 Welcome (fx15.fr7)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.newsleecher.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.ngroups.net","IPv4-only","TLSv1.2","200 Welcome to Usenet (fx30.fr7)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.ngroups.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.ssl-news.info","IPv4-only","TLSv1.2","200 Welcome to SSL News","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.ssl-news.info' doesn't match either of 'reader.ssl-news.info', 'www.reader.ssl-news.info'"
"eu.thundernews.com","IPv4-IPv6","TLSv1.2","200 Welcome (fx05.fr7)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.thundernews.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"eu.usenet-news.net","IPv4-only","TLSv1.2","200 Welcome to Usenet (fx10.fr7)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'eu.usenet-news.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.123usenet.nl","IPv4-only","TLSv1.2","200 newsreader.usenetter.nl NNRP Service Ready - info@usenetter.nl (no posting)(no reading)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.123usenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news1.usenet.nl","IPv4-only","TLSv1.2","200 Welcome to usenet.nl (fx27.fr7)","OK","OK","OK","-","-"
"news4.usenet4u.nl","IPv4-only","TLSv1.2","200 Welcome (fx40.am4)","OK","OK","OK","-","-"
"news.4ux.nl","IPv4-only","TLSv1.2","200 Welcome to 4 Usenet Xs","OK","OK","OK","-","-"
"news.aeton.nl","IPv4-only","TLSv1.2","200 Welcome to Aeton","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.alibis.com","IPv4-IPv6","TLSv1.2","200 Welcome (fx03.am4)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.alibis.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.altbinaries.com","IPv4-IPv6","TLSv1.2","200 Welcome (fx17.am4)","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.altbinaries.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
